Post_ID,Position,Unit,First_Date,Last_Date,Appearances,Status_History
"127107","Системний адміністратор","Прикордонний підрозділ безпілотних авіаційних систем «Фенікс»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127077","Технік служби захисту інформації","19 центр спеціального призначення ВСП",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"127068","Начальник апаратної групи зв'язку та кібербезпеки штабу","19 центр спеціального призначення ВСП",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"126985","Спеціаліст з кіберзахисту","412 окремий полк безпілотних систем «NEMESIS»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"126888","Business Analyst/Product Owner","17 бригада «Рейд»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"126503","OSINT-спеціаліст","6 батальйон 414 ОБрБпС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"126435","Програміст","Центр Спеціальних Операцій «А»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"76214","Зв’язківець/системний адміністратор","Державна спеціальна служба транспорту",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"126192","Backend Developer (Python/Odoo)","13 бригада оперативного призначення «Хартія»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"125992","IT-фахівець/зв'язківець","81 окремий батальйон зв’язку",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"125813","Фахівець із впровадження ШІ","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"125365","Backend Technical Lead / System Architect","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"125359","Інженер служби підтримки","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"125041","Дата-аналітик","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"124812","Системний адміністратор","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"124530","Системний адміністратор","Батальйон безпілотних систем «FATUM» 60 ОМБр",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"124447","OSINT-спеціаліст","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123735","Бізнес-аналітик","Центр масштабування технологічних рішень",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123732","Database Administrator (PostgreSQL)","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123727","Спеціаліст із впровадження програмного продукту","Центр масштабування технологічних рішень",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123720","Проєктний менеджер","Центр масштабування технологічних рішень",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123717","Інженер із тестування програмного забезпечення","Центр масштабування технологічних рішень",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123714","Фахівець із підтримки продуктів","Центр масштабування технологічних рішень",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123711","Інженер-робототехнік","Центр масштабування технологічних рішень",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123706","Радіоінженер","Центр масштабування технологічних рішень",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"109782","DevOps Engineer","13 бригада оперативного призначення «Хартія»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"123691","Адміністратор проєктної команди","14 окремий полк БпАК",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"105003","Рекрутер/IT-спеціаліст","54 окрема механізована бригада",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"122897","Python Developer","Сухопутні Війська",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"122894","Фахівець із геоінформаційних систем","Сухопутні Війська",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"122817","Зв’язківець/ІТ-фахівець","Сили Логістики",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"65031","Системний адміністратор/зв'язківець","Рота безпілотних наземних систем 110 ОМБр",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"122079","Спеціаліст із автоматизації та обробки великих обсягів даних","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"121802","Програміст програми бухгалтерського обліку","1 окремий штурмовий полк",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"113233","Спеціаліст з підтримки SAP (L2)","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"121663","Технік інформаційно-комунікаційного вузла","Військово-морські сили",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"37537","SAP Solution Architect","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"80557","Начальник групи зв'язку та кібербезпеки","95 окремий батальйон підтримки",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"68251","Системний адміністратор-зв'язківець","92 окрема штурмова бригада",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"66930","Програміст","92 окрема штурмова бригада",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"120582","Оператор технічної підтримки","Центр інновацій та розвитку оборонних технологій",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"120452","Senior Frontеnd Developer","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"119989","Офіцер групи зв'язку та кібербезпеки","151 Навчальний центр",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"119911","Зв'язківець/ІТ-фахівець","151 Навчальний центр",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"119848","Штаб-сержант 3 категорії групи звʼязку та кібербезпеки","1 окрема важка механізована бригада",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"119835","Інженер технічної підтримки","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"75771","Програміст (напрям БПЛА)","3 мотопіхотний батальйон 58 ОМПБр",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"103905","Middle/JS Full Stack Developer","412 окремий полк безпілотних систем «NEMESIS»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"73431","Зв'язківець (IT напрям)","Прикордонний підрозділ безпілотних авіаційних систем «Фенікс»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"105620","R&D-менеджер","Прикордонний підрозділ безпілотних авіаційних систем «Фенікс»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"118030","Аналітик даних","1 корпус НГУ «Азов»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"117972","Chief Technology Officer","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"91646","Системний адміністратор","135 окремий батальйон управління ДШВ",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"15341","Фахівець з кібербезпеки","135 окремий батальйон управління ДШВ",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"15345","Оператор-планшетист","135 окремий батальйон управління ДШВ",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"116691","QA Engineer","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"116687","Оператор підтримки","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"116629","Офіцер служби захисту інформації","Південне територіальне управління ВСП",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"89377","Начальник служби захисту інформації","348 інформаційно-комунікаційний вузол",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"116217","Системний адміністратор","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"116213","Мережевий адміністратор","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"63963","DevOps Engineer","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"115411","Офіцер відділу управління проєктами","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"115394","Технік із системного адміністрування ЦОД","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"115384","Спеціаліст відділу технічного адміністрування ЦОД","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"86638","Системний адміністратор/зв'язківець","5 батальйон 112 ОБр ТрО",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"115035","OSINT-аналітик","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"114159","OSINT-аналітик","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"108376","Software Test Engineer","14 окремий полк БпАК",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"113496","Оператор ПК","427 окремий полк безпілотних систем «РАРОГ»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"112887","Оператор інформаційних систем","Центр Спеціальних Операцій «А»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"112885","Технік з програмного та технічного забезпечення","Центр Спеціальних Операцій «А»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"112869","Системний адміністратор","Сили Безпілотних Систем",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"112760","Програміст","427 окремий полк безпілотних систем «РАРОГ»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"101420","Технік служби захисту інформації в автоматизованих системах","22 окремий мотопіхотний батальйон 92 ОШБр",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"112318","Спеціаліст відділу документального супроводження","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"112316","Спеціаліст відділу функціональних сервісів","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"102549","UI/UX дизайнер","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"102393","QA Engineer","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"21818","Технік служби захисту інформації","Окремий підрозділ РЕБ Повітряних Сил",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"100247","Майстер слаботочного монтажу","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"112136","Розробник програмного забезпечення","18 Слов’янська бригада",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"97950","Мережевий адміністратор","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"96983","Спеціаліст технічної підтримки","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"96046","Фахівець із захисту інформації","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"92495","Embedded Software Engineer","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"71860","Інженер з налаштування Ardupilot/Mission Planner","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"65121","Спеціаліст криптографічного захисту інформації","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"65127","Інженер з розробки на FPGA","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"65124","Технік служби захисту інформації","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"65118","Анотатор даних","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"65113","CV/ML Research Engineer","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"63973","Automation QA Engineer","414 окрема бригада ударних БпАС «Птахи Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"76071","Penetration Tester","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"76066","Malware Devops (Reverse Engineer)","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"111729","Аналітик даних","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"110430","Технік служби захисту інформації","37 окрема бригада морської піхоти",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"110222","Фахівець з технічної підтримки","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"109593","Web Penetration Tester","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"109208","Керівник служби підтримки","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"109192","Спеціаліст з нормативно-довідникової інформації (медичний напрям)","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"108918","Спеціаліст відділу комунікаційних сервісів управління…","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"108733","Спеціаліст відділу адміністрування АС","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"108216","Головний спеціаліст Департаменту цифровізації","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"108131","Програміст","157 окрема механізована бригада",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"108030","Фахівець з кібербезпеки","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"88708","ІТ-фахівець із захисту інформації","421 окремий батальйон безпілотних систем «САПСАН»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"107336","Програміст (Embedded Engineer)","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"107150","Спеціаліст з кібербезпеки","Сили Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106986","Інженер з автоматизації та комп'ютерно-інтегрованих технологій","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106810","Технічний письменник","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106800","Спеціаліст з моделювання та симуляції","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106711","Фахівець з підтримки корпоративних хмарних сервісів","Міністерство Оборони",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106439","Embedded-інженер","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106426","Програміст нейронних мереж","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106428","Embedded-програміст","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"106420","Тестувальник","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"105698","Системний адміністратор","31 окрема механізована бригада",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"105571","BI-аналітик","93 полк «Цукрарня Птахів Мадяра»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"104827","Технік служби технічного захисту інформації","12 бригада спеціального призначення «Азов»",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
"82225","Адміністратор кібербезпеки","Сухопутні Війська",2025-10-21,2025-12-10,22,"open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open → open"
